s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000,-1.0679431E-007,-2.5681310E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0705112E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.7032804E-001, 2.1283563E+000,-1.3932413E-001, 3.3943887E-002,-1.1482459E-002,-2.9030193E-004, 0.0000000E+000, 0.0000000E+000, 1.2505923E+000, 2.0112033E+000, 0.0000000E+000, 5.8893922E-005, 0.0000000E+000
 6.9436508E-001, 8.3073172E+000,-2.5354168E+000, 9.3980084E-002,-1.7931503E-001,-7.8385630E-004, 0.0000000E+000, 0.0000000E+000, 5.6687505E+000, 5.6857816E+000, 0.0000000E+000, 1.4535504E-004, 0.0000000E+000
 1.0087293E+000, 9.7530475E+000,-1.9327121E+000, 1.3112878E-001,-1.1891536E-001,-1.1577457E-003, 0.0000000E+000, 0.0000000E+000, 7.5387718E+000, 7.8313910E+000, 0.0000000E+000, 2.0186464E-004, 0.0000000E+000
 1.3402841E+000, 1.1468659E+001,-1.9528891E+000, 1.5963057E-001,-1.2010979E-001,-1.3238790E-003, 0.0000000E+000, 0.0000000E+000, 9.5129961E+000, 9.5539667E+000, 0.0000000E+000, 2.3929333E-004, 0.0000000E+000
 1.6699458E+000, 1.2707576E+001,-2.3239948E+000, 1.7229065E-001,-1.7511196E-001,-1.4579356E-003, 0.0000000E+000, 0.0000000E+000, 1.0341127E+001, 1.0379302E+001, 0.0000000E+000, 2.6254195E-004, 0.0000000E+000
 2.0012891E+000, 1.3582585E+001,-2.4281868E+000, 1.8628708E-001,-1.7496704E-001,-1.5340232E-003, 0.0000000E+000, 0.0000000E+000, 1.1144840E+001, 1.1164184E+001, 0.0000000E+000, 2.7539580E-004, 0.0000000E+000
 2.3392768E+000, 1.3950859E+001,-2.4899422E+000, 1.9239633E-001,-1.6912291E-001,-1.5732835E-003, 0.0000000E+000, 0.0000000E+000, 1.1474250E+001, 1.1482617E+001, 0.0000000E+000, 2.8235726E-004, 0.0000000E+000
 2.6745701E+000, 1.4157268E+001,-2.5498268E+000, 1.9457013E-001,-1.8405586E-001,-1.5923235E-003, 0.0000000E+000, 0.0000000E+000, 1.1604991E+001, 1.1616363E+001, 0.0000000E+000, 2.8602061E-004, 0.0000000E+000
 3.0048339E+000, 1.4274081E+001,-2.5562804E+000,-3.6177548E+000,-1.7689221E-001,-1.6089301E-003, 0.0000000E+000, 0.0000000E+000, 8.0546235E+000, 7.9215449E+000, 0.0000000E+000, 2.8789427E-004, 0.0000000E+000
 3.3428826E+000, 1.4327630E+001,-2.5834623E+000,-7.7955517E+000,-2.1944312E-001,-1.6101124E-003, 0.0000000E+000, 0.0000000E+000, 3.6610555E+000, 3.7275626E+000, 0.0000000E+000, 2.8886362E-004, 0.0000000E+000
 3.6682742E+000, 1.4398265E+001,-2.5948442E+000,-8.7877518E+000,-2.0330464E-001,-1.6109132E-003, 0.0000000E+000, 0.0000000E+000, 2.8803801E+000, 2.8107534E+000, 0.0000000E+000, 2.8935987E-004, 0.0000000E+000
 4.0019269E+000, 1.4375213E+001,-2.5910308E+000,-1.4437639E+001,-2.1213708E-001,-1.6072625E-003, 0.0000000E+000, 0.0000000E+000,-2.8286775E+000,-2.8672019E+000, 0.0000000E+000, 2.8961346E-004, 0.0000000E+000
 4.3392510E+000, 1.4431548E+001,-2.5889877E+000,-1.1843690E+001,-2.2619924E-001,-1.6160116E-003, 0.0000000E+000, 0.0000000E+000,-2.7052565E-001,-2.2894542E-001, 0.0000000E+000, 2.8974673E-004, 0.0000000E+000
 4.6756363E+000, 1.4382084E+001,-2.5929716E+000,-1.1729726E+001,-2.1984566E-001,-1.6106571E-003, 0.0000000E+000, 0.0000000E+000,-1.7089148E-001,-1.6207041E-001, 0.0000000E+000, 2.8981512E-004, 0.0000000E+000
 5.0013914E+000, 1.4433693E+001,-2.5698922E+000,-9.9325920E+000,-1.9248410E-001,-1.6140035E-003, 0.0000000E+000, 0.0000000E+000, 1.7280939E+000, 1.7371109E+000, 0.0000000E+000, 2.8984956E-004, 0.0000000E+000
 5.3344526E+000, 1.4384712E+001,-2.5993413E+000,-9.9047555E+000,-2.0563789E-001,-1.6089014E-003, 0.0000000E+000, 0.0000000E+000, 1.6259504E+000, 1.6733683E+000, 0.0000000E+000, 2.8986725E-004, 0.0000000E+000
 5.6720271E+000, 1.4418057E+001,-2.5700559E+000,-9.9573279E+000,-1.8650662E-001,-1.6178679E-003, 0.0000000E+000, 0.0000000E+000, 1.7558422E+000, 1.7025488E+000, 0.0000000E+000, 2.8987653E-004, 0.0000000E+000
 6.0096011E+000, 1.4419597E+001,-2.6108733E+000,-1.1434265E+001,-2.0683105E-001,-1.6182935E-003, 0.0000000E+000, 0.0000000E+000, 1.0969774E-001, 1.6600928E-001, 0.0000000E+000, 2.8988130E-004, 0.0000000E+000
 6.3372469E+000, 1.4392310E+001,-2.5528996E+000,-8.3272810E+000,-1.9278579E-001,-1.6228148E-003, 0.0000000E+000, 0.0000000E+000, 3.2715297E+000, 3.3177211E+000, 0.0000000E+000, 2.8988370E-004, 0.0000000E+000
 6.6768064E+000, 1.4425164E+001,-2.6110024E+000,-6.6152334E+000,-1.9710152E-001,-1.6177168E-003, 0.0000000E+000, 0.0000000E+000, 4.9887633E+000, 5.0002090E+000, 0.0000000E+000, 2.8988493E-004, 0.0000000E+000
 7.0031452E+000, 1.4353901E+001,-2.6096141E+000,-8.7068006E+000,-2.1041177E-001,-1.6085540E-003, 0.0000000E+000, 0.0000000E+000, 2.8765851E+000, 2.8254663E+000, 0.0000000E+000, 2.8988557E-004, 0.0000000E+000
 7.3396459E+000, 1.4443186E+001,-2.5919354E+000,-1.1463881E+001,-1.9364601E-001,-1.6117564E-003, 0.0000000E+000, 0.0000000E+000, 1.8422133E-001, 1.9211197E-001, 0.0000000E+000, 2.8988589E-004, 0.0000000E+000
 7.6702285E+000, 1.4403353E+001,-2.6135558E+000,-1.0435396E+001,-2.1652232E-001,-1.6130781E-003, 0.0000000E+000, 0.0000000E+000, 1.1284897E+000, 1.1362659E+000, 0.0000000E+000, 2.8988606E-004, 0.0000000E+000
 8.0039358E+000, 1.4402152E+001,-2.5810797E+000,-1.1492989E+001,-1.9669806E-001,-1.6183843E-003, 0.0000000E+000, 0.0000000E+000, 1.4032151E-001, 1.2976721E-001, 0.0000000E+000, 2.8988615E-004, 0.0000000E+000
 8.3385935E+000, 1.4409018E+001,-2.6163054E+000,-1.4171531E+001,-2.1092618E-001,-1.6101873E-003, 0.0000000E+000, 0.0000000E+000,-2.5832282E+000,-2.5913552E+000, 0.0000000E+000, 2.8988619E-004, 0.0000000E+000
 8.6738214E+000, 1.4409412E+001,-2.5985709E+000,-1.5676575E+001,-2.1523831E-001,-1.6164643E-003, 0.0000000E+000, 0.0000000E+000,-4.0861216E+000,-4.0825887E+000, 0.0000000E+000, 2.8988621E-004, 0.0000000E+000
 9.0049782E+000, 1.4433136E+001,-2.6001113E+000,-1.1832475E+001,-2.1977763E-001,-1.6178262E-003, 0.0000000E+000, 0.0000000E+000,-2.8766830E-001,-2.2084614E-001, 0.0000000E+000, 2.8988622E-004, 0.0000000E+000
 9.3422976E+000, 1.4371879E+001,-2.5817263E+000,-9.3775567E+000,-2.1079704E-001,-1.6246034E-003, 0.0000000E+000, 0.0000000E+000, 2.1910210E+000, 2.2001739E+000, 0.0000000E+000, 2.8988623E-004, 0.0000000E+000
 9.6731167E+000, 1.4420650E+001,-2.6246924E+000,-1.0920029E+001,-2.0540189E-001,-1.6171695E-003, 0.0000000E+000, 0.0000000E+000, 7.0827298E-001, 6.6891028E-001, 0.0000000E+000, 2.8988623E-004, 0.0000000E+000
 1.0008419E+001, 1.4385984E+001,-2.5982589E+000,-1.2225896E+001,-2.0859632E-001,-1.6207265E-003, 0.0000000E+000, 0.0000000E+000,-6.9458266E-001,-6.4838729E-001, 0.0000000E+000, 2.8988624E-004, 0.0000000E+000
 1.0333858E+001, 1.4427714E+001,-2.5935631E+000,-1.2718428E+001,-2.0571801E-001,-1.6103785E-003, 0.0000000E+000, 0.0000000E+000,-1.0694064E+000,-1.0916057E+000, 0.0000000E+000, 2.8988624E-004, 0.0000000E+000
 1.0673105E+001, 1.4453817E+001,-2.6222288E+000,-1.3454954E+001,-2.0952855E-001,-1.6203928E-003, 0.0000000E+000, 0.0000000E+000,-1.8373812E+000,-1.8345154E+000, 0.0000000E+000, 2.8988624E-004, 0.0000000E+000
 1.1006485E+001, 1.4344864E+001,-2.5896259E+000,-1.4890958E+001,-2.1607376E-001,-1.6192958E-003, 0.0000000E+000, 0.0000000E+000,-3.3801658E+000,-3.3534126E+000, 0.0000000E+000, 2.8988624E-004, 0.0000000E+000
 1.1340489E+001, 1.4412352E+001,-2.5626271E+000,-1.1045361E+001,-2.0118632E-001,-1.6300064E-003, 0.0000000E+000, 0.0000000E+000, 5.4853715E-001, 6.0154794E-001, 0.0000000E+000, 2.8988624E-004, 0.0000000E+000
 1.1673780E+001, 1.4389929E+001,-2.5923402E+000,-1.0738307E+001,-2.0248281E-001,-1.6183676E-003, 0.0000000E+000, 0.0000000E+000, 8.6040392E-001, 8.5518063E-001, 0.0000000E+000, 2.8988624E-004, 0.0000000E+000
 1.2002178E+001, 1.4392407E+001,-2.6044774E+000,-1.0971884E+001,-2.1331760E-001,-1.6195893E-003, 0.0000000E+000, 0.0000000E+000, 5.3713436E-001, 6.0110805E-001, 0.0000000E+000, 2.8988624E-004, 0.0000000E+000
 1.2335836E+001, 1.4361898E+001,-2.5556715E+000,-8.9338121E+000,-1.9247904E-001,-1.6201674E-003, 0.0000000E+000, 0.0000000E+000, 2.7009481E+000, 2.6783150E+000, 0.0000000E+000, 2.8988624E-004, 0.0000000E+000
 1.2673197E+001, 1.4454027E+001,-2.6094439E+000,-9.1473866E+000,-1.9944434E-001,-1.6240279E-003, 0.0000000E+000, 0.0000000E+000, 2.4243465E+000, 2.4961280E+000, 0.0000000E+000, 2.8988624E-004, 0.0000000E+000
