McCaffrey Purely Buoyant Diffusion Flames 1979 Figure 1
Height,Velocity
0.011052141780629524,0.5590400195729226
0.0221715218813274,0.9802082754302783
0.02447765934678218,1.0136289638312501
0.03690694751237565,1.348551606022015
0.04182767619343716,1.452209977409564
0.04841226363107801,1.5275955355547197
0.05406795223355052,1.6586297132561305
0.06632270262492607,1.78153831538516
0.11079660015671895,1.8987961173493262
0.11630860324202184,1.993661378959125
0.15371938784375513,1.9845877024704892
0.19841450370555522,1.89949296806284
0.23616909259000418,1.8354716621747527
0.26677139817162343,1.747997367683492
0.30191215086518997,1.6406131405790931
