McCaffrey Purely Buoyant Diffusion Flames 1979 Figure 2
Height,Temperature
0.010991016002008035,689.1551353306503
0.022026088833064887,740.0553615178145
0.024477628828171852,753.1795483255959
0.03680337848721964,831.7255544559355
0.04185748289275127,836.8787747353497
0.04908678420134283,809.3528444918827
0.0542169808182604,827.5850877180484
0.060169431448703015,811.1507498033084
0.06650316978889627,795.5740260077134
0.07370408248875551,777.6809099656479
0.09958330795837762,674.1600167350265
0.11089336887429038,585.4860006093554
0.11614820462530724,621.1853904119313
0.152610428979601,475.2067661308711
0.19983772408417091,338.5354466837426
0.2377269612455261,268.3438951190784
0.2692710842593972,209.57376331364992
0.3077123804267571,163.56638750073762
