s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000,-1.0679431E-007,-2.5681310E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0705112E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.7032804E-001, 3.1352879E+000,-2.8829306E-001, 4.8205644E-002,-2.0156800E-002,-4.1701756E-004, 0.0000000E+000, 0.0000000E+000, 1.8618458E+000, 2.8746266E+000, 0.0000000E+000, 8.8749868E-005, 0.0000000E+000
 6.8627971E-001, 1.0775746E+001,-3.5776889E+000, 1.1668846E-001,-2.2486515E-001,-1.1616726E-003, 0.0000000E+000, 0.0000000E+000, 6.9305366E+000, 7.0887191E+000, 0.0000000E+000, 2.1765698E-004, 0.0000000E+000
 1.0095146E+000, 1.4404846E+001,-2.7572634E+000, 1.9544441E-001,-1.3674000E-001,-1.6988647E-003, 0.0000000E+000, 0.0000000E+000, 1.1320208E+001, 1.1704588E+001, 0.0000000E+000, 3.0279552E-004, 0.0000000E+000
 1.3426857E+000, 1.7169748E+001,-3.0738298E+000, 2.3411397E-001,-1.9972187E-001,-1.9514017E-003, 0.0000000E+000, 0.0000000E+000, 1.4069699E+001, 1.4128359E+001, 0.0000000E+000, 3.6070472E-004, 0.0000000E+000
 1.6712143E+000, 1.9295260E+001,-3.5093687E+000, 2.6109900E-001,-2.5088339E-001,-2.1486488E-003, 0.0000000E+000, 0.0000000E+000, 1.5748492E+001, 1.5793958E+001, 0.0000000E+000, 3.9570267E-004, 0.0000000E+000
 2.0054793E+000, 2.0479837E+001,-3.6745794E+000, 2.8127072E-001,-2.3586555E-001,-2.2623787E-003, 0.0000000E+000, 0.0000000E+000, 1.6829702E+001, 1.6848400E+001, 0.0000000E+000, 4.1509810E-004, 0.0000000E+000
 2.3364108E+000, 2.0990464E+001,-3.8137376E+000, 2.8719193E-001,-2.5763518E-001,-2.3072187E-003, 0.0000000E+000, 0.0000000E+000, 1.7187341E+001, 1.7203976E+001, 0.0000000E+000, 4.2551519E-004, 0.0000000E+000
 2.6734939E+000, 2.1402285E+001,-3.8793026E+000,-1.0447216E+000,-2.4921142E-001,-2.3460117E-003, 0.0000000E+000, 0.0000000E+000, 1.6342106E+001, 1.6226704E+001, 0.0000000E+000, 4.3098977E-004, 0.0000000E+000
 3.0061512E+000, 2.1519680E+001,-3.9174863E+000,-1.6266020E+001,-2.9674724E-001,-2.3561637E-003, 0.0000000E+000, 0.0000000E+000, 1.0610371E+000, 1.0370703E+000, 0.0000000E+000, 4.3383902E-004, 0.0000000E+000
 3.3382783E+000, 2.1611383E+001,-3.9269357E+000,-1.8743657E+001,-3.1209901E-001,-2.3621142E-003, 0.0000000E+000, 0.0000000E+000,-1.2763238E+000,-1.3736713E+000, 0.0000000E+000, 4.3529470E-004, 0.0000000E+000
 3.6728067E+000, 2.1637239E+001,-3.9364083E+000,-1.5363362E+001,-3.3862332E-001,-2.3644632E-003, 0.0000000E+000, 0.0000000E+000, 1.9014484E+000, 1.9964810E+000, 0.0000000E+000, 4.3604687E-004, 0.0000000E+000
 4.0018253E+000, 2.1679475E+001,-3.9364992E+000,-1.4379868E+001,-2.8457168E-001,-2.3699970E-003, 0.0000000E+000, 0.0000000E+000, 3.1825265E+000, 3.0761664E+000, 0.0000000E+000, 4.3643307E-004, 0.0000000E+000
 4.3398705E+000, 2.1788463E+001,-3.9358954E+000,-1.8431688E+001,-2.7381975E-001,-2.3791668E-003, 0.0000000E+000, 0.0000000E+000,-9.2579474E-001,-8.5531916E-001, 0.0000000E+000, 4.3663193E-004, 0.0000000E+000
 4.6681771E+000, 2.1651435E+001,-3.9249984E+000,-1.5970531E+001,-2.7981975E-001,-2.3724685E-003, 0.0000000E+000, 0.0000000E+000, 1.4751908E+000, 1.4737130E+000, 0.0000000E+000, 4.3673447E-004, 0.0000000E+000
 5.0019908E+000, 2.1681842E+001,-3.9271012E+000,-1.8986703E+001,-2.8981653E-001,-2.3701192E-003, 0.0000000E+000, 0.0000000E+000,-1.5242564E+000,-1.5241493E+000, 0.0000000E+000, 4.3678672E-004, 0.0000000E+000
 5.3357482E+000, 2.1771973E+001,-3.9439552E+000,-1.1883055E+001,-2.9345266E-001,-2.3932044E-003, 0.0000000E+000, 0.0000000E+000, 5.5332267E+000, 5.6491165E+000, 0.0000000E+000, 4.3681389E-004, 0.0000000E+000
 5.6672993E+000, 2.1686927E+001,-3.9261526E+000,-1.0316618E+001,-2.8076233E-001,-2.3851034E-003, 0.0000000E+000, 0.0000000E+000, 7.2052473E+000, 7.1610092E+000, 0.0000000E+000, 4.3682776E-004, 0.0000000E+000
 6.0018630E+000, 2.1767084E+001,-3.9125785E+000,-1.6579054E+001,-2.7172646E-001,-2.3989003E-003, 0.0000000E+000, 0.0000000E+000, 1.0410967E+000, 1.0013257E+000, 0.0000000E+000, 4.3683490E-004, 0.0000000E+000
 6.3406243E+000, 2.1761318E+001,-3.9826899E+000,-1.4992591E+001,-3.0450126E-001,-2.3903668E-003, 0.0000000E+000, 0.0000000E+000, 2.3904860E+000, 2.4791452E+000, 0.0000000E+000, 4.3683860E-004, 0.0000000E+000
 6.6728845E+000, 2.1657821E+001,-3.9202261E+000,-1.4071657E+001,-2.9274999E-001,-2.3882631E-003, 0.0000000E+000, 0.0000000E+000, 3.3664648E+000, 3.3708000E+000, 0.0000000E+000, 4.3684049E-004, 0.0000000E+000
 7.0074120E+000, 2.1691069E+001,-3.9289348E+000,-1.4904320E+001,-3.1231577E-001,-2.3968115E-003, 0.0000000E+000, 0.0000000E+000, 2.5561943E+000, 2.5431018E+000, 0.0000000E+000, 4.3684144E-004, 0.0000000E+000
 7.3413630E+000, 2.1743449E+001,-3.9327295E+000,-1.6690142E+001,-3.1958444E-001,-2.3896984E-003, 0.0000000E+000, 0.0000000E+000, 8.1313625E-001, 7.9860362E-001, 0.0000000E+000, 4.3684194E-004, 0.0000000E+000
 7.6751528E+000, 2.1750643E+001,-3.9682350E+000,-1.3143210E+001,-3.5182981E-001,-2.3935650E-003, 0.0000000E+000, 0.0000000E+000, 4.1938591E+000, 4.2849754E+000, 0.0000000E+000, 4.3684219E-004, 0.0000000E+000
 8.0032997E+000, 2.1624459E+001,-3.9324450E+000,-1.6785267E+001,-3.2303168E-001,-2.3873265E-003, 0.0000000E+000, 0.0000000E+000, 7.5210765E-001, 5.8132843E-001, 0.0000000E+000, 4.3684232E-004, 0.0000000E+000
 8.3342772E+000, 2.1623265E+001,-3.9251283E+000,-2.0556043E+001,-3.3677605E-001,-2.3811022E-003, 0.0000000E+000, 0.0000000E+000,-3.2054575E+000,-3.1970636E+000, 0.0000000E+000, 4.3684238E-004, 0.0000000E+000
 8.6715803E+000, 2.1752736E+001,-3.9718778E+000,-1.8498988E+001,-3.3542063E-001,-2.3822294E-003, 0.0000000E+000, 0.0000000E+000,-1.1378947E+000,-1.0559331E+000, 0.0000000E+000, 4.3684242E-004, 0.0000000E+000
 9.0008354E+000, 2.1655813E+001,-3.9271879E+000,-1.8446205E+001,-3.0746028E-001,-2.3754595E-003, 0.0000000E+000, 0.0000000E+000,-1.0190316E+000,-1.0274161E+000, 0.0000000E+000, 4.3684244E-004, 0.0000000E+000
 9.3393478E+000, 2.1777048E+001,-3.9714786E+000,-1.4801898E+001,-2.9559607E-001,-2.3795960E-003, 0.0000000E+000, 0.0000000E+000, 2.7597021E+000, 2.7056961E+000, 0.0000000E+000, 4.3684244E-004, 0.0000000E+000
 9.6689529E+000, 2.1612989E+001,-3.9081841E+000,-2.1254054E+001,-2.7131244E-001,-2.3771292E-003, 0.0000000E+000, 0.0000000E+000,-3.8129616E+000,-3.8229396E+000, 0.0000000E+000, 4.3684245E-004, 0.0000000E+000
 1.0000977E+001, 2.1678866E+001,-3.9395961E+000,-2.1636233E+001,-2.9385351E-001,-2.3634553E-003, 0.0000000E+000, 0.0000000E+000,-4.2734526E+000,-4.1931798E+000, 0.0000000E+000, 4.3684245E-004, 0.0000000E+000
 1.0334388E+001, 2.1771872E+001,-3.9681712E+000,-1.6743873E+001,-3.0917216E-001,-2.3642104E-003, 0.0000000E+000, 0.0000000E+000, 7.0815531E-001, 7.4829165E-001, 0.0000000E+000, 4.3684245E-004, 0.0000000E+000
 1.0673621E+001, 2.1691733E+001,-3.9219223E+000,-1.8430659E+001,-2.7951743E-001,-2.3798753E-003, 0.0000000E+000, 0.0000000E+000,-9.2695385E-001,-9.4274553E-001, 0.0000000E+000, 4.3684245E-004, 0.0000000E+000
 1.1007453E+001, 2.1742085E+001,-3.9654844E+000,-1.5706507E+001,-2.9853545E-001,-2.3650767E-003, 0.0000000E+000, 0.0000000E+000, 1.7579663E+000, 1.7691923E+000, 0.0000000E+000, 4.3684245E-004, 0.0000000E+000
 1.1339140E+001, 2.1684037E+001,-3.9178972E+000,-2.0939046E+001,-2.8755019E-001,-2.3666831E-003, 0.0000000E+000, 0.0000000E+000,-3.4891957E+000,-3.4628232E+000, 0.0000000E+000, 4.3684245E-004, 0.0000000E+000
 1.1670830E+001, 2.1682635E+001,-3.9641060E+000,-1.4963746E+001,-2.9354624E-001,-2.3775309E-003, 0.0000000E+000, 0.0000000E+000, 2.3800993E+000, 2.4588595E+000, 0.0000000E+000, 4.3684245E-004, 0.0000000E+000
 1.2005200E+001, 2.1757757E+001,-3.9569283E+000,-1.4620904E+001,-2.8542657E-001,-2.3833528E-003, 0.0000000E+000, 0.0000000E+000, 2.9628147E+000, 2.8921153E+000, 0.0000000E+000, 4.3684245E-004, 0.0000000E+000
 1.2333459E+001, 2.1726833E+001,-3.9257160E+000,-1.9900818E+001,-2.7406034E-001,-2.3871868E-003, 0.0000000E+000, 0.0000000E+000,-2.4109915E+000,-2.3761479E+000, 0.0000000E+000, 4.3684245E-004, 0.0000000E+000
 1.2671090E+001, 2.1688848E+001,-3.9501062E+000,-1.6509141E+001,-2.8263432E-001,-2.3978287E-003, 0.0000000E+000, 0.0000000E+000, 9.1455965E-001, 9.4456839E-001, 0.0000000E+000, 4.3684245E-004, 0.0000000E+000
