McCaffrey Purely Buoyant Diffusion Flames 1979 Figure 2
Height,Temperature
0.013074912893112184,737.1896818362911
0.026113188287987858,805.0479991704321
0.0274251861581712,804.546424431142
0.04076065894300783,780.8872004656264
0.04366222786658283,845.9618091564987
0.04908678420134283,846.0604912215321
0.058115999984316415,769.6983894764438
0.06401528786938052,805.2259996115948
0.07128575136568248,771.9273354508665
0.0830869838558867,727.2205220663914
0.09546710767962469,567.1967853422497
0.09992289287718166,603.8061629206888
0.10352396129528665,650.1577136402312
0.11782080676313936,585.914976631822
0.12165204804062796,534.3945850898822
0.1383581814777415,507.50883786645807
0.1409251405667105,437.7637901970976
0.18105162077003875,342.3917234862896
0.1834089514506602,366.9370934346057
0.23181306381937317,235.69459664666908
0.2356321078718827,237.92654361500286
0.26799080219375165,181.25525666113657
0.28222295376157414,185.95339446224165
0.31235621465466756,154.38304201984718
0.3190189951993788,144.54574746342323
0.3655565364446189,121.06264347677973
