s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000,-1.0679431E-007,-2.5681310E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0705112E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.7032804E-001, 6.6219481E+000,-1.0420559E+000, 9.2589204E-002,-5.9650623E-002,-7.9012066E-004, 0.0000000E+000, 0.0000000E+000, 3.7597112E+000, 5.6120406E+000, 0.0000000E+000, 1.8363452E-004, 0.0000000E+000
 6.7690057E-001, 2.1390659E+001,-8.2775312E+000, 2.1257827E-001,-3.5613322E-001,-2.3008149E-003, 0.0000000E+000, 0.0000000E+000, 1.2972164E+001, 1.2967272E+001, 0.0000000E+000, 4.4458383E-004, 0.0000000E+000
 1.0006074E+000, 2.9907772E+001,-5.4657541E+000, 4.0678605E-001,-2.4245706E-001,-3.2619086E-003, 0.0000000E+000, 0.0000000E+000, 2.4191413E+001, 2.4603085E+001, 0.0000000E+000, 6.1995913E-004, 0.0000000E+000
 1.3393825E+000, 3.5382641E+001,-6.5579791E+000, 4.6935288E-001,-4.0612970E-001,-3.8196006E-003, 0.0000000E+000, 0.0000000E+000, 2.8726079E+001, 2.8884066E+001, 0.0000000E+000, 7.4405944E-004, 0.0000000E+000
 1.6705242E+000, 4.0579530E+001,-7.4276115E+000, 5.4856956E-001,-4.3402659E-001,-4.2259328E-003, 0.0000000E+000, 0.0000000E+000, 3.3223068E+001, 3.3262236E+001, 0.0000000E+000, 8.1816700E-004, 0.0000000E+000
 2.0019262E+000, 4.2567352E+001,-7.9020749E+000, 5.7637091E-001,-4.7000154E-001,-4.3964703E-003, 0.0000000E+000, 0.0000000E+000, 3.4726218E+001, 3.4767250E+001, 0.0000000E+000, 8.5855797E-004, 0.0000000E+000
 2.3369050E+000, 4.3547497E+001,-8.1199732E+000,-1.9309025E+001,-5.0576501E-001,-4.5004042E-003, 0.0000000E+000, 0.0000000E+000, 1.5847097E+001, 1.5608233E+001, 0.0000000E+000, 8.8029463E-004, 0.0000000E+000
 2.6670175E+000, 4.4180969E+001,-8.2354855E+000,-3.1385641E+001,-7.1074487E-001,-4.5619460E-003, 0.0000000E+000, 0.0000000E+000, 3.9669956E+000, 3.8445352E+000, 0.0000000E+000, 8.9168618E-004, 0.0000000E+000
 3.0035484E+000, 4.4096305E+001,-8.2392315E+000,-3.1911055E+001,-6.6243146E-001,-4.5662232E-003, 0.0000000E+000, 0.0000000E+000, 3.2631180E+000, 3.2790208E+000, 0.0000000E+000, 8.9759748E-004, 0.0000000E+000
 3.3336077E+000, 4.4906149E+001,-8.3506831E+000,-3.5272979E+001,-6.1077685E-001,-4.6091816E-003, 0.0000000E+000, 0.0000000E+000, 6.9158782E-001, 6.6710086E-001, 0.0000000E+000, 9.0065150E-004, 0.0000000E+000
 3.6703544E+000, 4.4731436E+001,-8.2477084E+000,-3.2502633E+001,-5.3113602E-001,-4.6118637E-003, 0.0000000E+000, 0.0000000E+000, 3.4810276E+000, 3.4453461E+000, 0.0000000E+000, 9.0222044E-004, 0.0000000E+000
 4.0040350E+000, 4.5011206E+001,-8.3205592E+000,-3.2251883E+001,-5.1051423E-001,-4.6350551E-003, 0.0000000E+000, 0.0000000E+000, 3.8849501E+000, 3.9236145E+000, 0.0000000E+000, 9.0303125E-004, 0.0000000E+000
 4.3390069E+000, 4.4635098E+001,-8.2630075E+000,-2.8778506E+001,-5.1759137E-001,-4.6329679E-003, 0.0000000E+000, 0.0000000E+000, 7.0663646E+000, 7.0713593E+000, 0.0000000E+000, 9.0344573E-004, 0.0000000E+000
 4.6679993E+000, 4.5251872E+001,-8.3152957E+000,-4.2380673E+001,-5.0337861E-001,-4.6582493E-003, 0.0000000E+000, 0.0000000E+000,-5.9354855E+000,-5.9521343E+000, 0.0000000E+000, 9.0365733E-004, 0.0000000E+000
 5.0024209E+000, 4.4697488E+001,-8.2657741E+000,-2.4230909E+001,-5.3481471E-001,-4.6314330E-003, 0.0000000E+000, 0.0000000E+000, 1.1473775E+001, 1.1661359E+001, 0.0000000E+000, 9.0376587E-004, 0.0000000E+000
 5.3378820E+000, 4.5070222E+001,-8.3178850E+000,-3.0123613E+001,-4.9320938E-001,-4.6530829E-003, 0.0000000E+000, 0.0000000E+000, 6.4004236E+000, 6.1308613E+000, 0.0000000E+000, 9.0382226E-004, 0.0000000E+000
 5.6682758E+000, 4.4771417E+001,-8.2428178E+000,-3.7238413E+001,-5.6164901E-001,-4.6422370E-003, 0.0000000E+000, 0.0000000E+000,-1.4947075E+000,-1.2761057E+000, 0.0000000E+000, 9.0385103E-004, 0.0000000E+000
 6.0047421E+000, 4.5276699E+001,-8.3986247E+000,-2.8530603E+001,-5.1914956E-001,-4.6796470E-003, 0.0000000E+000, 0.0000000E+000, 7.8130337E+000, 7.8236423E+000, 0.0000000E+000, 9.0386580E-004, 0.0000000E+000
 6.3380265E+000, 4.4583369E+001,-8.1947211E+000,-3.4598817E+001,-5.4187034E-001,-4.6605266E-003, 0.0000000E+000, 0.0000000E+000, 1.2719567E+000, 1.2433005E+000, 0.0000000E+000, 9.0387341E-004, 0.0000000E+000
 6.6682954E+000, 4.5043382E+001,-8.3302548E+000,-3.2758360E+001,-5.2812407E-001,-4.6671338E-003, 0.0000000E+000, 0.0000000E+000, 3.5833683E+000, 3.4219757E+000, 0.0000000E+000, 9.0387728E-004, 0.0000000E+000
 7.0063701E+000, 4.5361316E+001,-8.4130083E+000,-3.9676446E+001,-5.6343426E-001,-4.7021003E-003, 0.0000000E+000, 0.0000000E+000,-3.4687321E+000,-3.2962742E+000, 0.0000000E+000, 9.0387928E-004, 0.0000000E+000
 7.3394403E+000, 4.4955200E+001,-8.2721490E+000,-3.3888945E+001,-5.7544072E-001,-4.7068369E-003, 0.0000000E+000, 0.0000000E+000, 2.1618889E+000, 2.2139583E+000, 0.0000000E+000, 9.0388032E-004, 0.0000000E+000
 7.6708269E+000, 4.4792288E+001,-8.3294305E+000,-3.5168999E+001,-5.3473556E-001,-4.6643365E-003, 0.0000000E+000, 0.0000000E+000, 8.3355871E-001, 7.5445880E-001, 0.0000000E+000, 9.0388084E-004, 0.0000000E+000
 8.0004492E+000, 4.4674209E+001,-8.3296800E+000,-3.9573015E+001,-5.2856219E-001,-4.6445651E-003, 0.0000000E+000, 0.0000000E+000,-3.8561089E+000,-3.7616920E+000, 0.0000000E+000, 9.0388111E-004, 0.0000000E+000
 8.3336763E+000, 4.4513802E+001,-8.1696215E+000,-2.8524916E+001,-5.2313170E-001,-4.6364530E-003, 0.0000000E+000, 0.0000000E+000, 7.1648498E+000, 7.2914959E+000, 0.0000000E+000, 9.0388124E-004, 0.0000000E+000
 8.6669025E+000, 4.4749342E+001,-8.2630092E+000,-3.3459191E+001,-5.2498594E-001,-4.6384693E-003, 0.0000000E+000, 0.0000000E+000, 2.7483172E+000, 2.4975175E+000, 0.0000000E+000, 9.0388132E-004, 0.0000000E+000
 9.0033302E+000, 4.5490007E+001,-8.4756189E+000,-4.1199017E+001,-5.1611896E-001,-4.6515950E-003, 0.0000000E+000, 0.0000000E+000,-4.9196242E+000,-4.7054000E+000, 0.0000000E+000, 9.0388135E-004, 0.0000000E+000
 9.3335295E+000, 4.4751952E+001,-8.2768901E+000,-3.6537851E+001,-5.1739941E-001,-4.6399923E-003, 0.0000000E+000, 0.0000000E+000,-4.1887523E-001,-5.8482857E-001, 0.0000000E+000, 9.0388137E-004, 0.0000000E+000
 9.6698437E+000, 4.4890551E+001,-8.3243681E+000,-4.1678021E+001,-5.5218919E-001,-4.6449803E-003, 0.0000000E+000, 0.0000000E+000,-5.8693827E+000,-5.6686725E+000, 0.0000000E+000, 9.0388138E-004, 0.0000000E+000
 1.0006158E+001, 4.5037216E+001,-8.3582485E+000,-3.7503555E+001,-5.5338864E-001,-4.6470318E-003, 0.0000000E+000, 0.0000000E+000,-1.2906723E+000,-1.3826236E+000, 0.0000000E+000, 9.0388139E-004, 0.0000000E+000
 1.0337930E+001, 4.4718295E+001,-8.2458391E+000,-3.9262360E+001,-5.7397735E-001,-4.6356467E-003, 0.0000000E+000, 0.0000000E+000,-3.4473892E+000,-3.3685180E+000, 0.0000000E+000, 9.0388139E-004, 0.0000000E+000
 1.0666857E+001, 4.5077482E+001,-8.3369181E+000,-3.5896300E+001,-5.5088515E-001,-4.6523008E-003, 0.0000000E+000, 0.0000000E+000, 2.6367909E-001, 2.8872602E-001, 0.0000000E+000, 9.0388139E-004, 0.0000000E+000
 1.1001227E+001, 4.4977831E+001,-8.3106069E+000,-2.4171661E+001,-5.9002812E-001,-4.6506112E-003, 0.0000000E+000, 0.0000000E+000, 1.1801131E+001, 1.1900884E+001, 0.0000000E+000, 9.0388139E-004, 0.0000000E+000
 1.1337826E+001, 4.4720306E+001,-8.2330063E+000,-3.5888746E+001,-5.4326857E-001,-4.6630611E-003, 0.0000000E+000, 0.0000000E+000, 2.6513952E-001, 5.0622872E-002, 0.0000000E+000, 9.0388139E-004, 0.0000000E+000
 1.1668191E+001, 4.4884665E+001,-8.3482783E+000,-4.7634864E+001,-5.7872499E-001,-4.6516531E-003, 0.0000000E+000, 0.0000000E+000,-1.1760838E+001,-1.1681854E+001, 0.0000000E+000, 9.0388139E-004, 0.0000000E+000
 1.2005355E+001, 4.5223256E+001,-8.3390308E+000,-3.5324281E+001,-6.1476562E-001,-4.6710446E-003, 0.0000000E+000, 0.0000000E+000, 9.0080836E-001, 9.4050767E-001, 0.0000000E+000, 9.0388139E-004, 0.0000000E+000
 1.2337807E+001, 4.5128860E+001,-8.3662391E+000,-3.8398081E+001,-5.5907208E-001,-4.6788726E-003, 0.0000000E+000, 0.0000000E+000,-2.1882900E+000,-2.1992110E+000, 0.0000000E+000, 9.0388139E-004, 0.0000000E+000
 1.2669076E+001, 4.4618203E+001,-8.2633040E+000,-3.5616447E+001,-5.9333585E-001,-4.6506761E-003, 0.0000000E+000, 0.0000000E+000, 1.0646183E-001, 1.4046503E-001, 0.0000000E+000, 9.0388139E-004, 0.0000000E+000
