Time(s),Temperature(°C),(mg)
213,39.800000,0.0128103
214,39.800000,0.0129094
215,39.800000,0.0130223
216,39.800000,0.0133005
217,39.800000,0.0133538
218,39.800000,0.0133468
219,39.800000,0.013383
220,39.800000,0.0135058
221,39.800000,0.0136677
222,39.800000,0.0136005
223,39.800000,0.0134618
224,39.800000,0.0133347
225,39.800000,0.013498
226,39.800000,0.013609
227,39.800000,0.0135504
228,39.800000,0.01363
229,39.800000,0.013707
230,39.800000,0.0137651
231,39.800000,0.0137914
232,39.800000,0.0136394
233,39.800000,0.0138513
234,39.800000,0.0139372
235,39.800000,0.0138498
236,39.800000,0.0140782
237,39.800000,0.0142377
238,39.800000,0.0142725
239,39.800000,0.0141688
240,39.800000,0.0141998
241,39.800000,0.0142255
242,39.800000,0.0142294
243,39.800000,0.0143886
244,39.800000,0.0147269
245,39.800000,0.0143741
246,39.800000,0.0145651
247,39.800000,0.0143924
248,39.800000,0.0142508
249,39.800000,0.0143806
250,39.800000,0.0142332
251,39.800000,0.0142364
252,39.800000,0.0142687
253,39.800000,0.0142367
254,39.800000,0.0144556
255,39.800000,0.0145164
256,39.800000,0.0145407
257,39.800000,0.0147012
258,39.800000,0.0146573
259,39.800000,0.0146308
260,39.800000,0.0141545
261,39.800000,0.0149617
262,39.800000,0.0153119
263,39.800000,0.015358
264,39.800000,0.0154142
265,39.800000,0.0150933
266,39.800000,0.0152035
267,39.800000,0.0157757
268,39.800000,0.0153863
269,39.800000,0.0154943
270,39.800000,0.0158661
271,39.800000,0.0160593
272,39.800000,0.0162829
273,39.800000,0.0164372
274,39.800000,0.0163552
275,39.800000,0.0166172
276,39.800000,0.0165276
277,39.800000,0.0166886
278,39.800000,0.0161005
279,39.800000,0.0162438
280,39.800000,0.0162734
281,39.800000,0.0169743
282,39.800000,0.0170961
283,39.800000,0.0171685
284,39.800000,0.0165572
285,39.800000,0.0165178
286,39.800000,0.0164517
287,39.800000,0.0163897
288,39.800000,0.0163448
289,39.800000,0.0162892
290,39.800000,0.0162372
291,39.800000,0.0162261
292,39.800000,0.0162659
293,39.800000,0.0170086
294,39.800000,0.0171611
295,39.800000,0.0166859
296,39.800000,0.0167982
297,39.800000,0.0168342
298,39.800000,0.0168191
299,39.800000,0.0167883
300,39.800000,0.0167598
301,39.800000,0.0167005
302,39.800000,0.0166599
303,39.800000,0.0166264
304,39.800000,0.0165907
305,39.800000,0.0164903
306,39.800000,0.0163874
307,39.800000,0.0163033
308,39.800000,0.016303
309,39.800000,0.0163676
310,39.800000,0.0164646
311,39.800000,0.0165767
312,39.800000,0.0166818
313,39.800000,0.0167509
314,39.800000,0.016758
315,39.800000,0.0167409
316,39.800000,0.017363
317,39.800000,0.0173569
318,39.800000,0.0173461
319,39.800000,0.0173531
320,39.800000,0.017298
321,39.800000,0.0166329
322,39.800000,0.0165922
323,39.800000,0.0165706
324,39.800000,0.0165527
325,39.800000,0.0165644
326,39.800000,0.0172349
327,39.800000,0.0172998
328,39.800000,0.0167242
329,39.800000,0.0174233
330,39.800000,0.0175055
331,39.800000,0.0175972
332,39.800000,0.0184677
333,39.800000,0.0185682
334,39.800000,0.018648
335,39.800000,0.0185201
336,39.800000,0.0179213
337,39.800000,0.0179653
338,39.800000,0.0180845
339,39.800000,0.0189182
340,39.800000,0.0187506
341,39.800000,0.0174123
342,39.800000,0.00122602
343,39.800000,0.00110307
344,39.800000,0.0170883
345,39.800000,-0.0007609
346,39.800000,-0.00162232
347,39.800000,-0.00116946
348,39.800000,-0.00238508
349,39.800000,-0.00384925
350,39.800000,-0.000772171
351,39.800000,-0.00343535
352,39.800000,-0.00130407
353,39.800000,-0.00268246
354,39.800000,-0.000490514
355,39.800000,-0.0011308
356,39.800000,-0.000428019
357,39.800000,-0.000325906
358,39.800000,-0.00040699
359,39.800000,-0.00063244
360,39.800000,-0.00210447
361,39.800000,-0.00278802
362,39.800000,-0.00390783
363,39.800000,-0.00210606
364,39.800000,-0.00272342
365,39.800000,-0.000463244
366,39.800000,-0.000415423
367,39.800000,-0.000299229
368,39.800000,-0.000241088
369,39.800000,-0.000226869
370,39.800000,-0.000270971
371,39.800000,-0.00331263
372,39.800000,-0.00409973
373,39.800000,-0.00392026
374,39.800000,-0.00437713
375,39.800000,-0.00470311
376,39.800000,-0.00334522
377,39.800000,-0.000573489
378,39.800000,-0.00259328
379,39.800000,-0.00369423
380,39.800000,-0.00396366
381,39.800000,-0.00313935
382,39.800000,-0.00390189
383,39.800000,-0.00365814
384,39.800000,-0.00432005
385,39.800000,-0.00586383
386,39.800000,-0.00986383
387,39.800000,-0.00777556
388,39.800000,-0.00770111
389,39.800000,-0.00487233
390,39.800000,-0.00442007
391,39.800000,-0.00449547
392,39.800000,-0.00628798
393,39.800000,-0.0099035
394,39.800000,-0.00829981
395,39.800000,-0.00632926
396,39.800000,-0.00589506
397,39.800000,-0.00602057
398,39.800000,-0.00517899
399,39.800000,-0.00597174
400,39.800000,-0.0103224
401,39.800000,-0.0111118
402,39.800000,-0.0105966
403,39.800000,-0.0101574
404,39.800000,-0.0102481
405,39.800000,-0.0102015
406,39.800000,-0.0100311
407,39.800000,-0.0105664
408,39.800000,-0.0103417
409,39.800000,-0.0109699
410,39.800000,-0.011118
411,39.800000,-0.0111297
412,39.800000,-0.0114536
413,39.800000,-0.0118162
414,39.800000,-0.0116588
415,39.800000,-0.0114657
416,39.800000,-0.0112293
417,39.800000,-0.0110021
418,39.800000,-0.0104318
419,39.800000,-0.0104723
420,39.800000,-0.0106238
421,39.800000,-0.0118233
422,39.800000,-0.0109274
423,39.800000,-0.0105481
424,39.800000,-0.0100625
425,39.800000,-0.0102564
426,39.800000,-0.0113919
427,39.800000,-0.0120285
428,39.800000,-0.0147811
429,39.800000,-0.0124314
430,39.800000,-0.0147562
431,39.800000,-0.0133799
432,39.900000,-0.0153074
433,39.900000,-0.0156066
434,39.900000,-0.0155175
435,39.900000,-0.0152567
436,39.800000,-0.0144734
437,39.900000,-0.0152826
438,39.800000,-0.0123793
439,39.800000,-0.011768
440,39.800000,-0.0113119
441,39.800000,-0.0112873
442,39.800000,-0.0106854
443,39.800000,-0.0109417
444,39.800000,-0.0116357
445,39.800000,-0.0122532
446,39.800000,-0.012806
447,39.900000,-0.0155655
448,39.900000,-0.0162103
449,39.900000,-0.0165592
450,39.900000,-0.017627
451,39.900000,-0.0175468
452,39.900000,-0.0181145
453,39.900000,-0.0177219
454,39.900000,-0.0163136
455,39.800000,-0.0144265
456,39.900000,-0.0152606
457,39.900000,-0.0179721
458,39.900000,-0.0181682
459,39.900000,-0.0183848
460,39.900000,-0.0170481
461,39.900000,-0.0165055
462,39.900000,-0.0156266
463,39.900000,-0.0162084
464,39.900000,-0.0167988
465,39.900000,-0.0170338
466,39.900000,-0.0176305
467,39.900000,-0.0178366
468,39.900000,-0.0169267
469,39.900000,-0.0163407
470,39.900000,-0.015997
471,39.900000,-0.0168332
472,39.900000,-0.0182344
473,39.900000,-0.0188341
474,39.900000,-0.0183031
475,39.900000,-0.0186227
476,39.900000,-0.0188327
477,39.900000,-0.0188482
478,39.900000,-0.0188289
479,39.900000,-0.0186384
480,39.900000,-0.0195898
481,39.900000,-0.0193616
482,39.900000,-0.0196438
483,39.900000,-0.0197042
484,39.900000,-0.019108
485,39.900000,-0.0186217
486,39.900000,-0.0191105
487,39.900000,-0.0187791
488,39.900000,-0.0178739
489,39.900000,-0.0200162
490,39.900000,-0.021971
491,39.900000,-0.0227394
492,39.900000,-0.0227012
493,39.900000,-0.0217352
494,39.900000,-0.0208645
495,39.900000,-0.0209995
496,39.900000,-0.0206253
497,39.900000,-0.0204051
498,39.900000,-0.0213976
499,39.900000,-0.0215743
500,39.900000,-0.0206114
501,39.900000,-0.0205085
502,39.900000,-0.0218602
503,39.900000,-0.0216205
504,39.900000,-0.021697
505,39.900000,-0.0218094
506,39.900000,-0.0222452
507,39.900000,-0.0222352
508,39.900000,-0.0220591
509,39.900000,-0.0220437
510,39.900000,-0.0222917
511,39.900000,-0.0222678
512,39.900000,-0.0223503
513,39.900000,-0.0225504
514,39.900000,-0.022591
515,39.900000,-0.0224605
516,39.900000,-0.0224518
517,39.900000,-0.0226824
518,39.900000,-0.0226332
519,39.900000,-0.0230235
520,39.900000,-0.0230392
521,39.900000,-0.0249493
522,39.900000,-0.0264965
523,39.900000,-0.0266287
524,39.900000,-0.0255142
525,39.900000,-0.0244369
526,39.900000,-0.0239416
527,39.900000,-0.0229254
528,39.900000,-0.0227263
529,39.900000,-0.0225238
530,39.900000,-0.0228458
531,39.900000,-0.0231248
532,39.900000,-0.0242312
533,39.900000,-0.0241208
534,39.900000,-0.0237952
535,39.900000,-0.0231944
536,39.900000,-0.0230319
537,39.900000,-0.0238605
538,39.900000,-0.0251692
539,39.900000,-0.0253539
540,39.900000,-0.024989
541,39.900000,-0.0241155
542,39.900000,-0.0232182
543,39.900000,-0.0232198
544,39.900000,-0.0245124
545,39.900000,-0.0254876
546,39.900000,-0.025443
547,39.900000,-0.0259213
548,39.900000,-0.0253443
549,39.900000,-0.0246293
550,39.900000,-0.0247643
551,39.900000,-0.0254079
552,39.900000,-0.0267287
553,40.000000,-0.0284277
554,40.000000,-0.0290447
555,39.900000,-0.027035
556,40.000000,-0.0281724
557,40.000000,-0.0277168
558,39.900000,-0.027114
559,39.900000,-0.0266287
560,40.000000,-0.0277946
561,40.000000,-0.0280492
562,40.000000,-0.027949
563,40.000000,-0.0274525
564,40.000000,-0.0285673
565,40.000000,-0.0288639
566,40.000000,-0.028282
567,40.000000,-0.0287138
568,40.000000,-0.030934
569,40.000000,-0.0317465
570,40.000000,-0.0324357
571,40.000000,-0.0315345
572,40.000000,-0.0317463
573,40.000000,-0.0313219
574,40.000000,-0.0314846
575,40.000000,-0.0319733
576,40.000000,-0.0324662
577,40.000000,-0.0321215
578,40.000000,-0.0325296
579,40.000000,-0.031597
580,40.000000,-0.0311474
581,40.000000,-0.0321849
582,40.000000,-0.0327105
583,40.000000,-0.0328235
584,40.000000,-0.0331186
585,40.000000,-0.0333776
586,40.000000,-0.0327809
587,40.000000,-0.0319793
588,40.000000,-0.03198
589,40.000000,-0.0324573
590,40.000000,-0.0332198
591,40.000000,-0.0332131
592,40.000000,-0.033614
593,40.000000,-0.0330488
594,40.000000,-0.0326988
595,40.000000,-0.0327998
596,40.000000,-0.0331992
597,40.000000,-0.0338955
598,40.000000,-0.0344529
599,40.000000,-0.034201
600,40.000000,-0.034105
601,40.000000,-0.0338411
602,40.000000,-0.0341207
603,40.000000,-0.0340662
604,40.000000,-0.0341111
605,40.000000,-0.0336919
606,40.000000,-0.034049
607,40.000000,-0.0337506
608,40.000000,-0.0333109
609,40.000000,-0.0334743
610,40.000000,-0.0331175
611,40.000000,-0.0326882
612,40.000000,-0.0327154
613,40.000000,-0.0324253
614,40.000000,-0.0334005
615,40.000000,-0.0329941
616,40.100000,-0.0335571
617,40.100000,-0.0331789
618,40.100000,-0.0320596
619,40.100000,-0.0315042
620,40.100000,-0.0310818
621,40.100000,-0.0303165
622,40.100000,-0.0292126
623,40.100000,-0.0285612
624,40.100000,-0.0271496
625,40.100000,-0.0261285
626,40.100000,-0.0270951
627,40.200000,-0.0280342
628,40.200000,-0.0292883
629,40.200000,-0.0292993
630,40.200000,-0.0304305
631,40.200000,-0.0293418
632,40.200000,-0.028573
633,40.200000,-0.0271134
634,40.200000,-0.0268098
635,40.300000,-0.0255694
636,40.300000,-0.0243446
637,40.300000,-0.0233106
638,40.300000,-0.0237036
639,40.300000,-0.0247919
640,40.400000,-0.0256082
641,40.400000,-0.0251133
642,40.400000,-0.0250045
643,40.400000,-0.0249813
644,40.500000,-0.0240284
645,40.500000,-0.0224167
646,40.500000,-0.0213428
647,40.500000,-0.0200729
648,40.500000,-0.0194574
649,40.600000,-0.0197821
650,40.600000,-0.0192795
651,40.600000,-0.0187389
652,40.600000,-0.0184096
653,40.700000,-0.018652
654,40.700000,-0.0185695
655,40.800000,-0.0186147
656,40.800000,-0.0185017
657,40.800000,-0.0176109
658,40.900000,-0.0169902
659,40.900000,-0.0174685
660,41.000000,-0.0173924
661,41.000000,-0.0177036
662,41.000000,-0.0177435
663,41.100000,-0.0172594
664,41.100000,-0.0163716
665,41.200000,-0.0158698
666,41.300000,-0.0150733
667,41.300000,-0.0144188
668,41.400000,-0.0140724
669,41.400000,-0.0130582
670,41.500000,-0.0128723
671,41.600000,-0.0115039
672,41.600000,-0.0109087
673,41.700000,-0.0104835
674,41.700000,-0.00950431
675,41.800000,-0.00936061
676,41.900000,-0.00858068
677,41.900000,-0.0086525
678,42.000000,-0.00913018
679,42.100000,-0.00910265
680,42.100000,-0.00874495
681,42.200000,-0.00890685
682,42.300000,-0.00899566
683,42.400000,-0.00897468
684,42.500000,-0.00959081
685,42.600000,-0.00968543
686,42.700000,-0.00908
687,42.800000,-0.00855773
688,42.900000,-0.00843851
689,42.900000,-0.00767108
690,43.000000,-0.00702114
691,43.100000,-0.00661975
692,43.200000,-0.0069232
693,43.400000,-0.00702732
694,43.400000,-0.00647965
695,43.500000,-0.00584198
696,43.600000,-0.00522239
697,43.800000,-0.0055113
698,43.900000,-0.00537638
699,44.000000,-0.00536266
700,44.100000,-0.00529107
701,44.200000,-0.00529898
702,44.400000,-0.00534446
703,44.500000,-0.00554126
704,44.600000,-0.00559442
705,44.800000,-0.00581753
706,44.900000,-0.00554449
707,45.000000,-0.00550504
708,45.200000,-0.00527024
709,45.300000,-0.0052803
710,45.400000,-0.00498533
711,45.600000,-0.0048916
712,45.700000,-0.00499555
713,45.900000,-0.00485097
714,46.000000,-0.0049982
715,46.200000,-0.00515991
716,46.400000,-0.00542892
717,46.500000,-0.00520876
718,46.700000,-0.00470861
719,46.800000,-0.00429534
720,47.000000,-0.00406734
721,47.200000,-0.00402209
722,47.300000,-0.00366338
723,47.500000,-0.00310209
724,47.600000,-0.00258672
725,47.800000,-0.00261121
726,48.000000,-0.00240425
727,48.200000,-0.00266012
728,48.300000,-0.00229568
729,48.500000,-0.00180935
730,48.700000,-0.00151252
731,48.900000,-0.00141093
732,49.000000,-0.00136403
733,49.200000,-0.00133427
734,49.400000,-0.0013597
735,49.600000,-0.00166518
736,49.800000,-0.00175793
737,50.000000,-0.00179693
738,50.200000,-0.00169005
739,50.300000,-0.00175114
