Time,Mass,Back Surface Temperature 1,Back Surface Temperature 2
[s],[g],[K],[K]
315,2.59,955,915
316,2.55,956,916
317,2.55,957,914
318,2.51,957,912
319,2.48,958,914
320,2.48,958,916
321,2.45,960,920
322,2.41,961,915
323,2.41,961,913
324,2.38,962,915
325,2.34,963,916
326,2.34,963,911
327,2.3,963,915
328,2.27,964,915
329,2.25,965,912
330,2.25,966,913
331,2.23,966,914
332,2.19,967,917
333,2.19,968,920
334,2.17,968,917
335,2.14,968,914
336,2.14,969,909
337,2.11,969,910
338,2.08,969,915
339,2.07,970,918
340,2.07,971,919
341,2.05,971,923
342,2.03,973,920
343,2.01,973,920
344,2.01,973,919
345,1.98,974,921
346,1.98,975,930
347,1.97,975,923
348,1.94,975,920
349,1.93,975,915
350,1.93,976,911
351,1.91,976,911
352,1.9,975,911
353,1.9,975,911
354,1.88,974,916
355,1.86,974,915
356,1.84,974,911
357,1.84,975,910
358,1.83,975,911
359,1.83,976,919
360,1.83,976,921
361,1.81,977,925
362,1.81,977,919
363,1.79,977,913
364,1.77,976,913
365,1.77,976,916
366,1.76,976,920
367,1.74,976,919
368,1.74,977,922
369,1.72,978,925
370,1.71,978,922
371,1.71,978,921
372,1.69,978,922
373,1.68,979,928
374,1.68,978,931
375,1.67,978,927
376,1.65,977,921
377,1.65,977,918
378,1.65,977,915
379,1.64,976,917
380,1.63,976,921
381,1.62,976,921
382,1.62,975,918
383,1.61,975,919
384,1.59,974,920
385,1.58,974,918
386,1.58,974,914
387,1.58,975,916
388,1.56,975,914
389,1.56,975,916
390,1.54,974,917
391,1.54,974,917
392,1.52,974,917
393,1.52,972,910
394,1.52,972,911
395,1.5,972,909
396,1.49,972,908
397,1.49,972,913
398,1.47,971,919
399,1.47,970,911
400,1.47,969,906
401,1.47,968,904
402,1.46,967,902
403,1.46,966,905
404,1.45,966,908
405,1.43,966,914
406,1.43,966,915
407,1.42,965,915
408,1.41,966,920
409,1.41,965,917
410,1.4,965,914
411,1.4,965,916
412,1.39,964,913
413,1.39,964,910
414,1.38,963,908
415,1.37,960,903
416,1.37,959,901
417,1.37,958,905
418,1.36,958,908
419,1.36,958,905
420,1.35,958,906
421,1.35,958,910
422,1.34,957,906
423,1.34,957,905
424,1.34,957,906
425,1.33,957,907
426,1.33,957,906
427,1.32,957,906
428,1.31,957,904
429,1.31,957,907
430,1.31,956,908
431,1.3,956,906
432,1.3,955,901
433,1.3,954,897
434,1.29,953,896
435,1.29,953,897
436,1.29,953,899
437,1.27,952,902
438,1.27,952,906
439,1.27,952,907
440,1.27,951,906
441,1.26,951,907
442,1.27,952,910
443,1.27,951,910
444,1.26,950,909
445,1.25,950,907
446,1.25,949.5,906
447,1.25,949,905
448,1.26,948,906
449,1.24,948,910
450,1.24,948,912
451,1.24,948,908
452,1.23,947,905
453,1.23,946,904
454,1.23,945,903
455,1.22,945,902
456,1.22,945,904
457,1.21,945,908
458,1.21,945,910
459,1.22,945,907
460,1.22,946,906
461,1.21,945,906
462,1.21,945,903
463,1.21,944,907
464,1.21,944,905
465,1.21,943,901
466,1.21,943,900
467,1.2,943,898
468,1.21,942,897
469,1.21,942,896
470,1.2,942,899
471,1.2,941,901
472,1.2,941,901
473,1.2,940,904
474,1.19,940,905
475,1.19,940,904
476,1.19,940,903
477,1.19,940,903
478,1.19,940,904
479,1.19,940,904
480,1.2,940,901
481,1.2,940,901
482,1.2,940,901
483,1.2,940,905
484,1.19,940,903
485,1.19,940,902
486,1.19,940,903
487,1.19,940,903
488,1.19,940,905
489,1.19,939,903
490,1.19,939,910
491,1.19,939,910
492,1.19,939,907
493,1.18,938,903
494,1.18,938,899
495,1.18,938,900
496,1.18,938,901
497,1.18,937,902
498,1.18,937,899
499,1.18,937,893
500,1.18,937,898
501,1.18,937,897
502,1.18,937,895
503,1.19,936,892
504,1.18,936,891
505,1.18,935,892
506,1.18,935,892
